match_key,side,duplicate_count,chosen_source_file
Northwestern|1|southern california zb|wake forest sl,neg,2,WakeForest-LiSf-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-1.docx
Northwestern|2|kansas ww|wake forest sl,aff,2,WakeForest-LeSa-Aff-Northwestern-Round-2.docx
Northwestern|3|uc berkeley rm|wake forest sl,neg,2,WakeForest-LiSf-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx
Northwestern|6|southern california bm|wake forest sl,neg,2,WakeForest-LeSa-Neg-Northwestern-Round-6.docx
Northwestern|7|baylor ll|kentucky gs,aff,2,Baylor-LoLi-Aff-Northwestern-Round-7.docx
