model,features,train_rows,validation_rows,validation_accuracy,majority_baseline,true_L_pred_L,true_L_pred_W,true_W_pred_L,true_W_pred_W,difference_vs_locked
locked_interaction_logistic,"num_positions, num_adv_inh_solv, num_offs, num_cards_total, num_cards_with_highlight, total_highlighted_words",339,73,0.6438356164383562,0.6027397260273972,9,20,6,38,0.0
locked_interaction_logistic_plus_highlight_semantic,"num_positions, num_adv_inh_solv, num_offs, num_cards_total, num_cards_with_highlight, total_highlighted_words, causal_word_count, certainty_word_count, impact_word_count, numeric_reference_count, highlighted_word_ratio",339,73,0.5616438356164384,0.6027397260273972,7,22,10,34,-0.0821917808219178
