cluster_field,cluster_value,rows,errors,error_rate,false_positives,false_negatives,avg_cards_per_position,avg_offs_density
tournament_source,Gonzaga,77,41,0.5324675324675324,23,18,1.2484108243848504,0.42857142857142855
tournament_source,Northwestern,85,35,0.4117647058823529,29,6,2.0053501400560223,0.38823529411764707
side,aff,75,34,0.4533333333333333,12,22,2.1215853775853777,0.0
side,neg,87,42,0.4827586206896552,40,2,1.235212552453932,0.7586206896551724
parse_confidence,high,71,29,0.4084507042253521,16,13,3.754681625104161,0.5211267605633803
parse_confidence,medium,91,47,0.5164835164835165,36,11,0.0,0.31868131868131866
cards_per_position_bin,single_bin,162,76,0.4691358024691358,52,24,1.645570341866638,0.4074074074074074
offs_density_bin,single_bin,162,76,0.4691358024691358,52,24,1.645570341866638,0.4074074074074074
