file_index,source_file,returncode,success,summary_rows,argument_rows,card_rows,stdout_excerpt,stderr_excerpt
226,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Aff-3---Gonzaga-Round-4.docx,0,True,1,2,22,Parse complete. | Doc: Michigan-ChCh-Aff-3---Gonzaga-Round-4.docx | Positions detected: 2 | Cards detected: 22 | Cards with highlighted/underlined read proxy: 22 | ,
227,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Aff-3---Gonzaga-Round-5.docx,0,True,1,10,43,Parse complete. | Doc: Michigan-ChCh-Aff-3---Gonzaga-Round-5.docx | Positions detected: 10 | Cards detected: 43 | Cards with highlighted/underlined read proxy: 43 | ,
228,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Aff-3---Gonzaga-Round-8.docx,0,True,1,12,58,Parse complete. | Doc: Michigan-ChCh-Aff-3---Gonzaga-Round-8.docx | Positions detected: 12 | Cards detected: 58 | Cards with highlighted/underlined read proxy: 58 | ,
229,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Neg-3---Gonzaga-Round-2.docx,0,True,1,4,11,Parse complete. | Doc: Michigan-ChCh-Neg-3---Gonzaga-Round-2.docx | Positions detected: 4 | Cards detected: 11 | Cards with highlighted/underlined read proxy: 11 | ,
230,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Neg-3---Gonzaga-Round-3.docx,0,True,1,5,13,Parse complete. | Doc: Michigan-ChCh-Neg-3---Gonzaga-Round-3.docx | Positions detected: 5 | Cards detected: 13 | Cards with highlighted/underlined read proxy: 13 | ,
231,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Neg-3---Gonzaga-Round-6.docx,0,True,1,4,12,Parse complete. | Doc: Michigan-ChCh-Neg-3---Gonzaga-Round-6.docx | Positions detected: 4 | Cards detected: 12 | Cards with highlighted/underlined read proxy: 12 | ,
232,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChCh\Michigan-ChCh-Neg-3---Gonzaga-Round-7.docx,0,True,1,5,16,Parse complete. | Doc: Michigan-ChCh-Neg-3---Gonzaga-Round-7.docx | Positions detected: 5 | Cards detected: 16 | Cards with highlighted/underlined read proxy: 16 | ,
233,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Aff-3---Gonzaga-Round-2.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-ChSa-Aff-3---Gonzaga-Round-2.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
234,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Aff-3---Gonzaga-Round-5.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-ChSa-Aff-3---Gonzaga-Round-5.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
235,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Aff-3---Gonzaga-Round-7.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-ChSa-Aff-3---Gonzaga-Round-7.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
236,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Neg-3---Gonzaga-Round-1.docx,0,True,1,2,5,Parse complete. | Doc: Michigan-ChSa-Neg-3---Gonzaga-Round-1.docx | Positions detected: 2 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
237,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Neg-3---Gonzaga-Round-4.docx,0,True,1,1,10,Parse complete. | Doc: Michigan-ChSa-Neg-3---Gonzaga-Round-4.docx | Positions detected: 1 | Cards detected: 10 | Cards with highlighted/underlined read proxy: 10 | ,
238,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Neg-3---Gonzaga-Round-6.docx,0,True,1,1,12,Parse complete. | Doc: Michigan-ChSa-Neg-3---Gonzaga-Round-6.docx | Positions detected: 1 | Cards detected: 12 | Cards with highlighted/underlined read proxy: 12 | ,
239,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\ChSa\Michigan-ChSa-Neg-3---Gonzaga-Round-8.docx,0,True,1,1,8,Parse complete. | Doc: Michigan-ChSa-Neg-3---Gonzaga-Round-8.docx | Positions detected: 1 | Cards detected: 8 | Cards with highlighted/underlined read proxy: 8 | ,
240,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Aff-Gonzaga-Round-1.docx,0,True,1,5,55,Parse complete. | Doc: Michigan-EsSh-Aff-Gonzaga-Round-1.docx | Positions detected: 5 | Cards detected: 55 | Cards with highlighted/underlined read proxy: 55 | ,
241,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Aff-Gonzaga-Round-4.docx,0,True,1,12,44,Parse complete. | Doc: Michigan-EsSh-Aff-Gonzaga-Round-4.docx | Positions detected: 12 | Cards detected: 44 | Cards with highlighted/underlined read proxy: 44 | ,
242,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Aff-Gonzaga-Round-5.docx,0,True,1,11,62,Parse complete. | Doc: Michigan-EsSh-Aff-Gonzaga-Round-5.docx | Positions detected: 11 | Cards detected: 62 | Cards with highlighted/underlined read proxy: 62 | ,
243,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Aff-Gonzaga-Round-8.docx,0,True,1,8,60,Parse complete. | Doc: Michigan-EsSh-Aff-Gonzaga-Round-8.docx | Positions detected: 8 | Cards detected: 60 | Cards with highlighted/underlined read proxy: 60 | ,
244,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Neg-Gonzaga-Round-2.docx,0,True,1,4,13,Parse complete. | Doc: Michigan-EsSh-Neg-Gonzaga-Round-2.docx | Positions detected: 4 | Cards detected: 13 | Cards with highlighted/underlined read proxy: 13 | ,
245,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Neg-Gonzaga-Round-3.docx,0,True,1,3,10,Parse complete. | Doc: Michigan-EsSh-Neg-Gonzaga-Round-3.docx | Positions detected: 3 | Cards detected: 10 | Cards with highlighted/underlined read proxy: 10 | ,
246,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Neg-Gonzaga-Round-6.docx,0,True,1,5,12,Parse complete. | Doc: Michigan-EsSh-Neg-Gonzaga-Round-6.docx | Positions detected: 5 | Cards detected: 12 | Cards with highlighted/underlined read proxy: 12 | ,
247,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\EsSh\Michigan-EsSh-Neg-Gonzaga-Round-7.docx,0,True,1,5,17,Parse complete. | Doc: Michigan-EsSh-Neg-Gonzaga-Round-7.docx | Positions detected: 5 | Cards detected: 17 | Cards with highlighted/underlined read proxy: 17 | ,
248,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Aff-2---Gonzaga-Round-1.docx,0,True,1,7,22,Parse complete. | Doc: Michigan-HwMc-Aff-2---Gonzaga-Round-1.docx | Positions detected: 7 | Cards detected: 22 | Cards with highlighted/underlined read proxy: 22 | ,
249,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Aff-2---Gonzaga-Round-3.docx,0,True,1,7,25,Parse complete. | Doc: Michigan-HwMc-Aff-2---Gonzaga-Round-3.docx | Positions detected: 7 | Cards detected: 25 | Cards with highlighted/underlined read proxy: 25 | ,
250,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Aff-2---Gonzaga-Round-6.docx,0,True,1,7,43,Parse complete. | Doc: Michigan-HwMc-Aff-2---Gonzaga-Round-6.docx | Positions detected: 7 | Cards detected: 43 | Cards with highlighted/underlined read proxy: 43 | ,
251,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Aff-2---Gonzaga-Round-7.docx,0,True,1,6,35,Parse complete. | Doc: Michigan-HwMc-Aff-2---Gonzaga-Round-7.docx | Positions detected: 6 | Cards detected: 35 | Cards with highlighted/underlined read proxy: 35 | ,
252,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Neg-2---Gonzaga-Round-2.docx,0,True,1,5,43,Parse complete. | Doc: Michigan-HwMc-Neg-2---Gonzaga-Round-2.docx | Positions detected: 5 | Cards detected: 43 | Cards with highlighted/underlined read proxy: 43 | ,
253,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Neg-2---Gonzaga-Round-4.docx,0,True,1,13,31,Parse complete. | Doc: Michigan-HwMc-Neg-2---Gonzaga-Round-4.docx | Positions detected: 13 | Cards detected: 31 | Cards with highlighted/underlined read proxy: 31 | ,
254,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Neg-2---Gonzaga-Round-5.docx,0,True,1,11,36,Parse complete. | Doc: Michigan-HwMc-Neg-2---Gonzaga-Round-5.docx | Positions detected: 11 | Cards detected: 36 | Cards with highlighted/underlined read proxy: 36 | ,
255,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\HwMc\Michigan-HwMc-Neg-2---Gonzaga-Round-8.docx,0,True,1,12,28,Parse complete. | Doc: Michigan-HwMc-Neg-2---Gonzaga-Round-8.docx | Positions detected: 12 | Cards detected: 28 | Cards with highlighted/underlined read proxy: 28 | ,
256,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Aff-2---Gonzaga-Round-2.docx,0,True,1,4,16,Parse complete. | Doc: Michigan-MoAl-Aff-2---Gonzaga-Round-2.docx | Positions detected: 4 | Cards detected: 16 | Cards with highlighted/underlined read proxy: 16 | ,
257,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Aff-2---Gonzaga-Round-3.docx,0,True,1,4,16,Parse complete. | Doc: Michigan-MoAl-Aff-2---Gonzaga-Round-3.docx | Positions detected: 4 | Cards detected: 16 | Cards with highlighted/underlined read proxy: 16 | ,
258,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Aff-2---Gonzaga-Round-6.docx,0,True,1,2,19,Parse complete. | Doc: Michigan-MoAl-Aff-2---Gonzaga-Round-6.docx | Positions detected: 2 | Cards detected: 19 | Cards with highlighted/underlined read proxy: 19 | ,
259,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Aff-2---Gonzaga-Round-8.docx,0,True,1,4,27,Parse complete. | Doc: Michigan-MoAl-Aff-2---Gonzaga-Round-8.docx | Positions detected: 4 | Cards detected: 27 | Cards with highlighted/underlined read proxy: 27 | ,
260,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Neg-2---Gonzaga-Round-1.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-MoAl-Neg-2---Gonzaga-Round-1.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
261,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Neg-2---Gonzaga-Round-4.docx,0,True,1,6,32,Parse complete. | Doc: Michigan-MoAl-Neg-2---Gonzaga-Round-4.docx | Positions detected: 6 | Cards detected: 32 | Cards with highlighted/underlined read proxy: 32 | ,
262,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Neg-2---Gonzaga-Round-5.docx,0,True,1,2,4,Parse complete. | Doc: Michigan-MoAl-Neg-2---Gonzaga-Round-5.docx | Positions detected: 2 | Cards detected: 4 | Cards with highlighted/underlined read proxy: 4 | ,
263,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\MoAl\Michigan-MoAl-Neg-2---Gonzaga-Round-7.docx,0,True,1,0,0,Parse complete. | Doc: Michigan-MoAl-Neg-2---Gonzaga-Round-7.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
264,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-1.docx,0,True,1,1,20,Parse complete. | Doc: Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-1.docx | Positions detected: 1 | Cards detected: 20 | Cards with highlighted/underlined read proxy: 20 | ,
265,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-4.docx,0,True,1,9,55,Parse complete. | Doc: Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-4.docx | Positions detected: 9 | Cards detected: 55 | Cards with highlighted/underlined read proxy: 55 | ,
266,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-5.docx,0,True,1,1,23,Parse complete. | Doc: Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-5.docx | Positions detected: 1 | Cards detected: 23 | Cards with highlighted/underlined read proxy: 23 | ,
267,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-7.docx,0,True,1,7,57,Parse complete. | Doc: Michigan-OuAg-Aff-4-Gonzaga-University-Jesuit-Debates-Round-7.docx | Positions detected: 7 | Cards detected: 57 | Cards with highlighted/underlined read proxy: 57 | ,
268,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Michigan\OuAg\Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-2.docx,0,True,1,2,49,Parse complete. | Doc: Michigan-OuAg-Neg-4-Gonzaga-University-Jesuit-Debates-Round-2.docx | Positions detected: 2 | Cards detected: 49 | Cards with highlighted/underlined read proxy: 49 | ,
