feature,coefficient
num_positions,0.05124513758442003
num_cards_total,0.008981204973533803
num_cards_with_highlight,0.008981204973532513
rank,0.00021845812132687933
total_highlighted_words,-0.00015205925137060482
num_offs,-0.021298098538560902
side_aff,-0.443059038808528
