feature,coefficient
num_offs,0.13383940952943796
num_cards_with_highlight,0.0018717622764668409
num_cards_total,0.0018717622764667704
total_highlighted_words,0.00023072514984660272
rank,-3.31352819660732e-05
num_positions,-0.07238928967652716
side_aff,-0.1853461641891678
